codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;total;notas
00.00.01;COMPLEJIDAD 1;00;;80;;;;;
00.00.02;COMPLEJIDAD 2;00;;160;40;;1;2068.8;01
00.00.03;COMPLEJIDAD 3;00;;250;62.5;;1;;
00.00.04;COMPLEJIDAD 4;00;;500;125;;2;;
00.00.05;COMPLEJIDAD 5;00;;800;200;;2;;
00.00.06;COMPLEJIDAD 6;00;;1000;250;;2;;
00.00.07;COMPLEGIDAD 7;00;;1400;350;;2;;
00.01.01;ESTUDIOS DE PRIMERA VES;00;;1;;;;51.72;01
00.01.02;CONTROLES TERAPEUTICOS;00;;1;;;;51.72;01
00.01.03;EST.POST.PARA AMPLIAR DETERMINACIONES O PRECISAR DIAG.;00;;1;;;;51.72;01
00.01.04;EVAL.INICIAL DE LEUCEMIA AGUDA O CRONICA, SINDR.MIELOPR;00;;1;;;;51.72;01
00.02.01;VALORACION CITOHEMAT.P/TECNICA DE MAY GRUNWALD GIEMSA;00;;1;;;;51.72;01
00.03.01;PRUEVAS CITOQUIMICAS ESPECIFICAS;00;;1;;;;51.72;01
00.03.02;ESTUDIO DE LEUCEMIAS,LINFOMAS,MARCADORES TUMORALES EN S;00;;1;;;;51.72;01
00.04.01;SESION DE TRATAMIENTO ONCOLOGICO;00;;1;;;;51.72;01
00.04.02;ADMINISTRACIÓN DE MEDIC.ONCOL.Y/O COMPL.DE RESCATE;00;;1;;;;51.72;01
00.04.03;SESION DE TRATAMIENTO ONCOLOGICO CON PACIENTE INTERNADO;00;;1;;;;51.72;01
00.04.04;QUIMIOTERAPIA POR VIA ORAL;00;;1;;;;51.72;01
00.05.01;TRANSFUSION DE SANGRE;00;;1;;;;51.72;01
00.05.02;COMPATIBILIZACION TRANSFUSIONAL PREQUIRURGICA;00;;1;;;;51.72;01
00.05.03;SEROLOGIA EN RECEPTOR;00;;1;;;;51.72;01
00.05.04;GRUPO SANGUINEO ABO Y FACTOR RH;00;;1;;;;51.72;01
00.05.05;AFERESIS POR SEPARACION ELECTRONICA;00;;1;;;;51.72;01
00.05.06;SANGRIA TERAPEUTICA;00;;1;;;;51.72;01
00.06.01;PUNCION ASPIRATIVA;00;;1;;;;51.72;01
00.06.02;TOMA DE MATERIAL OSEO PARA ESTUDIO HISTOLOGICO;00;;1;;;;51.72;01
00.06.03;PUNCION TRANSABDOMINAL CON AGUJA FINA;00;;1;;;;51.72;01
00.06.04;OBTENCION DIRECTA DEL MATERIAL P/PUNCION C/AGUJA FI NA;00;;1;;;;51.72;01
00.06.05;ACCESO AL ESPACIO TUMORAL;00;;1;;;;51.72;01
01.00.00;GRUPO "A" 1 MODULO NEUROQUIRURGICO;01;;36;;;;;31
01.00.02;GRUPO "A"2 MODULO NEUROQUIRURGICO;01;;90;;;;;31
01.00.03;GRUPO "A" 3 MODULO NEUROQUIRURGICO;01;;135;;;;;31
01.00.04;GRUPO "B" 1 MODULO NEUROQUIRURGICO;01;;156;;;;;31
01.00.05;GRUPO "B" 2 MODULO NEUROQUIRURGICO;01;;288;;;;;31
01.00.06;GRUPO "C" MODULO NEUROQUIRURGICO;01;;504;;;;;31
01.00.07;GRUPO "D" MODULO NEUROQUIRURGICO;01;;630;;;;;31
01.00.08;GRUPO "D" 1 MODULO NEUROQUIRURGICO;01;;810;;;;;31
01.01.01;TRATAMIENTO QUIRURGICO DEL ENCEFALOMENINGOCELE (CRANEO;01;;531.75;106.5;;2;57564.8;02
01.01.02;TRATAMIENTO QUIRURGICO DE LA CRANEOSTENOSIS. EN U;01;;478.5;95.25;;2;49004.2;02
01.01.03;CRANEOPLASTIAS CON INJERTO OSEO O PROTESICAS. INCL;01;;478.5;95.25;;2;51114.6;02
01.01.04;REDUCCION ABIERTA DE FRACTURAS DE CRANEO CON ELEVACION;01;;252.75;51;;2;32909.4;02
01.01.05;ESCISION DE LESION TUMORAL, INFECCIOSA, PARASITARIA, ET;01;;228;45;;2;23147.5;02
01.01.06;DESCOMPRESION ORBITARIA UNILATERAL.;01;;531.75;106.5;;2;1.02;02
01.02.01;VENTRICULOCISTERNOSTOMIAS (APERTURA DE LAS LAMINAS TERM;01;;637.5;127.5;;2;65206.5;02
01.02.02;DERIVACION VENTRICULOAURICULA DERECHA -VENTRICULOATRIOS;01;;372.75;74.25;;2;41784.6;02
01.02.03;REVISION DE VALVULAS DERIVATIVAS O RESTITUCION PARCIAL;01;;252.75;51;;2;32909.4;02
01.02.04;LOBECTOMIA PARCIAL O TOTAL POR TRAUMATISMO O EPILEPSIA.;01;;744;149.25;;2;71223.4;02
01.02.05;TRACTOTOMIA ESPINOTALAMICA, TRIGEMINAL O MESENCEFALICA.;01;;637.5;127.5;;2;65470.3;02
01.02.06;TRATAMIENTO QUIRURGICO DE LOS ANEURISMAS Y MALFORMACION;01;;797.25;159.75;;2;77068.5;02
01.02.07;EVACUACION POR PUNCION, DE COLECCION INTERCEREBRAL EPID;01;;228;45;;2;23675.1;02
